issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,I can’t restore access or override workspace owner/admin controls. Please contact your workspace owner or IT admin; I’m escalating this because it involves account permissions.,team_enterprise,escalated,product_issue,"Escalated because this is high-risk, account, payment, fraud, assessment outcome, outage, or security-sensitive issue. Product area inferred as team_enterprise."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"I can’t change assessment scores, review a completed test on behalf of a recruiter, or influence the hiring decision. This should be routed to the hiring company or a human support specialist for review.",screen,escalated,product_issue,"Escalated because this is high-risk, account, payment, fraud, assessment outcome, outage, or security-sensitive issue. Product area inferred as screen."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,"For disputes or merchant issues, contact the financial institution that issued your Visa card. Visa does not directly reverse charges or ban merchants from this support flow, so this is escalated for careful handling.",fraud_disputes,escalated,product_issue,"Escalated because this is high-risk, account, payment, fraud, assessment outcome, outage, or security-sensitive issue. Product area inferred as fraud_disputes."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"This involves billing or subscription changes, so I’m escalating it to a human support specialist rather than making unsupported changes or promises.",community,escalated,bug,"Escalated because this is high-risk, account, payment, fraud, assessment outcome, outage, or security-sensitive issue. Product area inferred as community."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,"This involves billing or subscription changes, so I’m escalating it to a human support specialist rather than making unsupported changes or promises.",billing,escalated,product_issue,"Escalated because this is high-risk, account, payment, fraud, assessment outcome, outage, or security-sensitive issue. Product area inferred as billing."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"For an information security review, share the required forms through the appropriate HackerRank sales or support channel so the correct team can respond with approved security documentation.",screen,replied,product_issue,Replied because the issue is low risk and matches HackerRank screen documentation: Manual for Fair Hiring; Ensuring a Great Candidate Experience Prepare candidates for success How HackerRank manages candidate support Recommended candidate support workflow.
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"If the Apply tab is missing in HackerRank Community, make sure you are signed in to the correct account and viewing a supported challenge or jobs area. If the option still does not appear, share the page and account details with support.",community,replied,bug,Replied because the issue is low risk and matches HackerRank community documentation: Get Started with Certify; Search and Apply for Jobs.
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"This appears to be a service-impacting bug or outage, so I’m escalating it to a human support specialist.",community,escalated,bug,"Escalated because this is high-risk, account, payment, fraud, assessment outcome, outage, or security-sensitive issue. Product area inferred as community."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"For compatibility check issues, retry the system check after verifying browser permissions, camera/microphone access, network access, and Zoom connectivity. If the check still fails and blocks a live assessment, contact the hiring company or support with the exact error.",screen,replied,bug,Replied because the issue is low risk and matches HackerRank screen documentation: Zoom - HackerRank Interview Integration; Changing the Account Email.
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,Escalate to a human support specialist.,screen,escalated,product_issue,"Escalated because this is high-risk, account, payment, fraud, assessment outcome, outage, or security-sensitive issue. Product area inferred as screen."
